 Prueba3                   SWAT+ Jul 2 2024        MODULAR Rev 2024.61.0.1                                
   jday   mon   day    yr   unit  gis_id  name                     lai       bioms       yield     residue     sol_tmp       strsw       strsa     strstmp       strsn       strsp       strss        nplt       percn       pplnt         tmx         tmn       tmpav     solarad      wndspd        rhum     phubas0     lai_max      bm_max     bm_grow       c_gro
                                                             m**2/m**2        kgha        kgha        kgha        degc         ---         ---         ---         ---         ---         ---        kgha        kgha        kgha        degc        degc        degc      mj/m^2         m/s        frac        degc   m**2/m**2       kg/ha       kg/ha       kg/ha
    67     3     8  1982       1       1  hru001                 0.000       0.000       0.000     122.120      15.497       0.000       0.000       0.000       0.000       0.000       0.000       0.000      87.803       0.000      21.409      12.499      16.954       0.881       0.754       0.849       0.406       0.000       0.000       0.000       0.000
    67     3     8  1982       2       2  hru002                 0.000       0.000       0.000     110.150      15.068       0.000       0.000       0.000       0.000       0.000       0.000       0.000      69.188       0.000      21.409      12.499      16.954       0.881       0.754       0.849       0.406       0.000       0.000       0.000       0.000
    67     3     8  1982       3       3  hru003                 0.000       0.000       0.000     121.933      15.505       0.000       0.000       0.000       0.000       0.000       0.000       0.000      89.397       0.000      21.409      12.499      16.954       0.881       0.754       0.849       0.406       0.000       0.000       0.000       0.000
    67     3     8  1982       4       4  hru004                 0.000       0.000       0.000     109.425      15.079       0.000       0.000       0.000       0.000       0.000       0.000       0.000      72.782       0.000      21.409      12.499      16.954       0.881       0.754       0.849       0.406       0.000       0.000       0.000       0.000
    67     3     8  1982       5       5  hru005                 0.000       0.000       0.000     109.586      15.076       0.000       0.000       0.000       0.000       0.000       0.000       0.000      71.761       0.000      21.409      12.499      16.954       0.881       0.754       0.849       0.406       0.000       0.000       0.000       0.000
    67     3     8  1982       6       6  hru006                 0.000       0.000       0.000     110.078      15.069       0.000       0.000       0.000       0.000       0.000       0.000       0.000      69.518       0.000      21.409      12.499      16.954       0.881       0.754       0.849       0.406       0.000       0.000       0.000       0.000
    67     3     8  1982       7       7  hru007                 0.000       0.000       0.000     121.944      15.505       0.000       0.000       0.000       0.000       0.000       0.000       0.000      89.258       0.000      21.409      12.499      16.954       0.881       0.754       0.849       0.406       0.000       0.000       0.000       0.000
    67     3     8  1982       8       8  hru008                 0.000       0.000       0.000     121.781      15.508       0.000       0.000       0.000       0.000       0.000       0.000       0.000      89.992       0.000      21.409      12.499      16.954       0.881       0.754       0.849       0.406       0.000       0.000       0.000       0.000
    67     3     8  1982       9       9  hru009                 0.000       0.000       0.000     120.198      15.527       0.000       0.000       0.000       0.000       0.000       0.000       0.000      93.950       0.000      21.409      12.499      16.954       0.881       0.754       0.849       0.406       0.000       0.000       0.000       0.000
    67     3     8  1982      10      10  hru010                 0.000       0.000       0.000     121.521      15.511       0.000       0.000       0.000       0.000       0.000       0.000       0.000      90.632       0.000      21.409      12.499      16.954       0.881       0.754       0.849       0.406       0.000       0.000       0.000       0.000
    67     3     8  1982      11      11  hru011                 0.000       0.000       0.000     120.186      15.527       0.000       0.000       0.000       0.000       0.000       0.000       0.000      93.963       0.000      21.409      12.499      16.954       0.881       0.754       0.849       0.406       0.000       0.000       0.000       0.000
    67     3     8  1982      12      12  hru012                 0.000       0.000       0.000     119.361      15.536       0.000       0.000       0.000       0.000       0.000       0.000       0.000      95.680       0.000      21.409      12.499      16.954       0.881       0.754       0.849       0.406       0.000       0.000       0.000       0.000
